amfi_code,scheme_name,fund_house,category,aum_crore,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,std_dev_ann_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,risk_grade,rank_cagr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,scorecard_score,fund_rank
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1000.0,1.64,13.58,25.56,,13.33,0.4,0.357,1.79,1.0,-21.54,Moderate,13.0,22.0,8.0,39.5,30.0,51.5,19
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,1000.0,1.54,18.11,18.04,,12.14,0.256,0.22,1.82,0.91,-14.84,Moderate,21.0,25.0,6.0,30.5,16.0,51.5,19
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,1000.0,0.74,7.43,7.39,,0.46,-3.211,-4.136,1.85,0.26,-0.1,Low,29.0,38.0,3.5,7.0,1.0,51.2,21
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,1000.0,0.56,3.7,3.92,,3.3,-0.979,-0.858,1.98,0.44,-4.31,Low,34.0,37.0,1.0,2.0,4.0,50.4,22
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,1000.0,1.57,20.21,19.67,,10.86,0.538,0.475,0.93,0.9,-10.86,Moderate,18.0,16.0,27.0,34.0,7.0,49.7,23
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,1000.0,1.52,65.14,27.0,,21.02,0.724,0.638,0.69,0.98,-31.17,High,10.0,12.0,36.0,26.5,37.0,49.0,24
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,1000.0,0.6,7.12,6.7,,0.47,-3.572,-4.631,1.52,0.47,-0.12,Low,30.0,39.0,14.0,3.0,2.0,45.6,25
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,1000.0,0.77,5.52,5.84,,3.36,-0.683,-0.603,1.6,0.22,-4.33,Low,32.0,35.0,13.0,9.0,5.0,44.1,26
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,1000.0,1.42,8.49,13.98,,11.75,0.534,0.47,0.66,0.96,-13.9,Moderate,25.0,17.0,37.0,20.0,14.0,42.2,27
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,1000.0,1.41,41.82,18.42,,12.89,0.42,0.367,0.55,0.92,-19.83,Moderate,20.0,19.0,38.0,19.0,27.0,41.3,28
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,1000.0,1.59,16.84,17.27,,11.39,0.273,0.237,1.27,0.93,-17.57,Moderate,22.0,24.0,19.0,35.0,24.0,40.9,29
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,1000.0,1.56,22.5,7.76,,15.13,-0.045,-0.037,1.91,1.0,-24.0,Moderate,28.0,29.0,2.0,33.0,33.0,40.3,30
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,1000.0,0.78,15.44,11.25,,15.52,0.148,0.126,0.9,1.04,-21.12,Moderate,26.0,26.0,28.0,10.0,29.0,40.3,30
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,1000.0,0.79,7.24,6.32,,0.46,-4.214,-5.118,1.18,0.43,-0.16,Low,31.0,40.0,21.0,11.0,3.0,37.3,32
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,1000.0,0.55,10.45,4.06,,3.37,-0.791,-0.702,0.89,0.37,-8.32,Low,33.0,36.0,29.5,1.0,6.0,37.1,33
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1000.0,1.53,-23.99,-4.15,,21.81,0.062,0.053,1.84,0.97,-35.45,High,39.0,27.0,5.0,28.5,38.0,32.0,34
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,1000.0,1.53,15.81,8.01,,21.35,0.302,0.259,0.8,1.03,-23.34,High,27.0,23.0,34.0,28.5,32.0,30.4,35
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,1000.0,0.72,13.95,-1.34,,21.1,-0.127,-0.107,1.13,1.04,-52.57,High,38.0,31.0,22.5,5.5,40.0,29.6,36
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1000.0,1.64,1.61,0.53,,11.8,-0.114,-0.098,1.41,0.91,-14.4,Moderate,36.0,30.0,17.0,39.5,15.0,27.9,37
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1000.0,1.51,-16.8,-0.77,,15.33,-0.282,-0.236,1.12,0.92,-28.0,Moderate,37.0,33.0,24.0,24.5,35.0,22.2,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1000.0,1.55,-2.22,1.29,,12.3,-0.305,-0.266,0.78,0.97,-24.73,Moderate,35.0,34.0,35.0,32.0,34.0,14.9,39
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1000.0,1.38,-42.8,-11.71,,21.19,-0.142,-0.121,0.51,1.0,-51.68,High,40.0,32.0,40.0,17.0,39.0,14.2,40
